D_TEXT_TOOLTIP_DRAGON_TROOPER,Primitive reptiloid warriors fiercely loyal to Delurin and equipped with ornate metal armor and flamethrowers to more closely resemble the Dragons of ancient myth. Unacquainted with blaster weaponry and other advanced technology, they are nonetheless resilient and quick on their feet.
D_TEXT_TOOLTIP_DRAGON_TROOPER_COMPANY,Company: 36x Dragon Trooper
TEXT_STATBLOCK_NTB_630_BASE,Health: 16 | Shields: 14
TEXT_STATBLOCK_NTB_630_ESCORT_BASE,Health: 100 | Shields: 90
TEXT_STATBLOCK_NTB_630_MOVE,Speed: 6.14 | Maneuverability: 3.0
TEXT_STATBLOCK_NTB_630_SQUADRON,Squadron: 12x NTB-630
TEXT_STATBLOCK_NTB_630_SQUADRON_DOUBLE,Squadron: 24x NTB-630
TEXT_STATBLOCK_NTB_630_SQUADRON_HALF,Squadron: 6x NTB-630
TEXT_STATBLOCK_NTB_630_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_NTB_630_WEAP2,1x Proton Rocket (AC): 1 / 12.5s / 3.0km
TEXT_STATBLOCK_NTB_630_WEAP3,1x Concussion Bomb (AC): 1 / 15.0s / 0.8km
TEXT_STATBLOCK_PRAETORIAN_ESCORT_BASE,Health: 140 | Shields: 60
TEXT_STATBLOCK_REPUBLIC_Z95_BASE,Health: 15 | Shields: 4
TEXT_STATBLOCK_REPUBLIC_Z95_ESCORT_BASE,Health: 130 | Shields: 50
TEXT_STATBLOCK_REPUBLIC_Z95_MOVE,Speed: 4.61 | Maneuverability: 4.03
TEXT_STATBLOCK_REPUBLIC_Z95_SQUADRON,Squadron: 12x Republic Z-95 Headhunter
TEXT_STATBLOCK_REPUBLIC_Z95_SQUADRON_DOUBLE,Squadron: 24x Republic Z-95 Headhunter
TEXT_STATBLOCK_REPUBLIC_Z95_SQUADRON_HALF,Squadron: 6x Republic Z-95 Headhunter
TEXT_STATBLOCK_REPUBLIC_Z95_WARTHOG_BASE,Health: 275 | Shields: 100
TEXT_STATBLOCK_REPUBLIC_Z95_WEAP1,1x Fighter Laser Cannon: 6 / 3.0s / 1.0km
TEXT_STATBLOCK_REPUBLIC_Z95_WEAP2,1x Fighter Proton Torpedo: 1 / 50.0s / 1.8km
TEXT_STATBLOCK_REPUBLICTIE_BASE,Health: 11 | Unshielded
TEXT_STATBLOCK_REPUBLICTIE_MOVE,Speed: 7.65 | Maneuverability: 4.5
TEXT_STATBLOCK_REPUBLICTIE_SQUADRON,Squadron: 12x T.I.E. Starfighter
TEXT_STATBLOCK_REPUBLICTIE_SQUADRON_DOUBLE,Squadron: 24x T.I.E. Starfighter
TEXT_STATBLOCK_REPUBLICTIE_SQUADRON_HALF,Squadron: 6x T.I.E. Starfighter
TEXT_STATBLOCK_REPUBLICTIE_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_REPUBLICTIE_WEAP2,1x Fighter Concussion Missile: 1 / 75.0s / 1.8km
TEXT_STATBLOCK_SHIELDED_MISSILE_TIE_FIGHTER_SQUADRON,Squadron: 12x Shielded Missile Refit TIE Fighter
TEXT_STATBLOCK_SHIELDED_MISSILE_TIE_FIGHTER_SQUADRON_DOUBLE,Squadron: 24x Shielded Missile Refit TIE Fighter
TEXT_STATBLOCK_SHIELDED_MISSILE_TIE_FIGHTER_SQUADRON_HALF,Squadron: 6x Shielded Missile Refit TIE Fighter
TEXT_STATBLOCK_SHIELDED_TIE_BOMBER_BASE,Health: 19 | Shields: 10
TEXT_STATBLOCK_SHIELDED_TIE_BOMBER_MOVE,Speed: 4.0 | Maneuverability: 3.0
TEXT_STATBLOCK_SHIELDED_TIE_BOMBER_SQUADRON,12x Shielded TIE  Bomber
TEXT_STATBLOCK_SHIELDED_TIE_BOMBER_SQUADRON_DOUBLE,24x Shielded TIE Bomber
TEXT_STATBLOCK_SHIELDED_TIE_BOMBER_SQUADRON_HALF,6x Shielded TIE Bomber
TEXT_STATBLOCK_SKIPRAYK_MOVE,Speed: 7 | Maneuverability: 2.46
TEXT_STATBLOCK_SKIPRAYK_WEAP3,1x Proton Rocket (AC): 1 / 10s / 3.0km
TEXT_STATBLOCK_SKIPRAYK_WEAP4,1x Concussion Bomb (AC): 1 / 25s / 0.8km
TEXT_STATBLOCK_SKIPRAYM_BASE,Health: 30 | Shields: 17
TEXT_STATBLOCK_SKIPRAYM_MOVE,Speed: 8.05 | Maneuverability: 3.46
TEXT_STATBLOCK_SKIPRAYM_WEAP4,1x Heavy Fighter Proton Torpedo (AC): 1 / 30s / 1.4km
TEXT_STATBLOCK_SKIPRAYZ_BASE,Health: 32 | Shields: 13
TEXT_STATBLOCK_SKIPRAYZ_WEAP2,2x Fighter Ion Cannon: 3 / 2.0s / 1.0km
TEXT_STATBLOCK_SKIPRAYZ_WEAP3,1x Heavy Fighter Proton Torpedo (AC): 2 / 37.5s / 1.4km
TEXT_STATBLOCK_THETA_ASSAULT_SHUTTLE_BASE,Health: 22 | Shields: 16
TEXT_STATBLOCK_THETA_ASSAULT_SHUTTLE_MOVE,Speed: 6.67 | Maneuverability: 3.9
TEXT_STATBLOCK_THETA_ASSAULT_SHUTTLE_SQUADRON,Squadron: 12x Theta Assault Shuttles
TEXT_STATBLOCK_THETA_ASSAULT_SHUTTLE_SQUADRON_DOUBLE,Squadron: 24x Theta Assault Shuttles
TEXT_STATBLOCK_THETA_ASSAULT_SHUTTLE_SQUADRON_HALF,Squadron: 6x Theta Assault Shuttles
TEXT_STATBLOCK_THETA_ASSAULT_SHUTTLE_WEAP1,2x Fighter Laser Cannons: 8 / 3.0s / 1.0km
TEXT_STATBLOCK_THETA_ASSAULT_SHUTTLE_WEAP2,1x Heavy Fighter Laser Cannon: 2 / 3.0s / 1.0km
TEXT_STATBLOCK_THETA_ASSAULT_SHUTTLE_WEAP3,1x Fighter Concussion Missile (AF): 2 / 12.5s / 1.8km 
TEXT_STATBLOCK_THETA_ASSAULT_SHUTTLE_WEAP3,1x Fighter Assault Concussion Missile: 1 / 37.5s / 1.8km
TEXT_STATBLOCK_TIE_AVENGER_ASSAULT_SQUADRON,Squadron: 12x Assault TIE Avenger
TEXT_STATBLOCK_TIE_AVENGER_ASSAULT_SQUADRON_DOUBLE,Squadron: 24x Assault TIE Avenger
TEXT_STATBLOCK_TIE_AVENGER_ASSAULT_SQUADRON_HALF,Squadron: 6x Assault TIE Avenger
TEXT_STATBLOCK_TIE_AVENGER_BOMBER_SQUADRON,Squadron: 12x TIE Avenger Bomber
TEXT_STATBLOCK_TIE_AVENGER_BOMBER_SQUADRON_DOUBLE,Squadron: 24x TIE Avenger Bomber
TEXT_STATBLOCK_TIE_AVENGER_BOMBER_SQUADRON_HALF,Squadron: 6x TIE Avenger Bomber
TEXT_STATBLOCK_TIE_AVENGER_TORPS_SQUADRON,Squadron: 12x Torpedo TIE Avenger
TEXT_STATBLOCK_TIE_AVENGER_TORPS_SQUADRON_DOUBLE,Squadron: 24x Torpedo TIE Avenger
TEXT_STATBLOCK_TIE_AVENGER_TORPS_SQUADRON_HALF,Squadron: 6x Torpedo TIE Avenger
TEXT_STATBLOCK_TIE_AVENGER_WEAP3,1x Fighter Proton Torpedo: 1 / 37.5s / 1.4km
TEXT_STATBLOCK_TIE_AVENGER_WEAP4,1x Fighter Assault Concussion Missile: 1 / 50.0s / 1.8km
TEXT_STATBLOCK_TIE_AVENGER_WEAP5,1x Proton Rocket (AC): 1 / 50.0s / 3.0km
TEXT_STATBLOCK_TIE_AVENGER_WEAP6,1x Light Concussion Bomb (AC): 1 / 37.5s / 0.8km
TEXT_STATBLOCK_TIE_BOMBER_THETA_BASE,Health: 225 | Unshielded
TEXT_STATBLOCK_TIE_DEFENDER_RED_STAR_MOVE,Speed: 8.66 | Maneuverability: 5.5
TEXT_STATBLOCK_TIE_FIGHTER_BF2_SQUADRON,12x Special Mission Refit TIE Fighter
TEXT_STATBLOCK_TIE_FIGHTER_BF2_SQUADRON_DOUBLE,24x Special Mission Refit TIE Fighter
TEXT_STATBLOCK_TIE_FIGHTER_BF2_SQUADRON_HALF,6x Special Mission Refit TIE Fighter
TEXT_STATBLOCK_TIE_FIGHTER_BF2_WEAP2,1x Fighter Proton Torpedo: 1 / 60.0s / 1.8km
TEXT_STATBLOCK_TIE_FIGHTER_MISSILE_SQUADRON,Squadron: 12x Missile Refit TIE Fighter
TEXT_STATBLOCK_TIE_FIGHTER_MISSILE_SQUADRON_DOUBLE,Squadron: 24x Missile Refit TIE Fighter
TEXT_STATBLOCK_TIE_FIGHTER_MISSILE_SQUADRON_HALF,Squadron: 6x Missile Refit TIE Fighter
TEXT_STATBLOCK_TIE_FIGHTER_MISSILE_WEAP2,1x Fighter Concussion Missile: 1 / 75.0s / 1.8km
TEXT_STATBLOCK_TIE_FIGHTER_WEAP3,1x Fighter Concussion Missile: 1 / 75.0s / 1.8km
TEXT_STATBLOCK_TIE_GT_BOMBER_SQUADRON,Squadron: 12x TIE/gt Bomber
TEXT_STATBLOCK_TIE_GT_BOMBER_SQUADRON_DOUBLE,Squadron: 24x TIE/gt Bomber
TEXT_STATBLOCK_TIE_GT_BOMBER_SQUADRON_HALF,Squadron: 6x TIE/gt Bomber
TEXT_STATBLOCK_TIE_GT_TORPS_SQUADRON,Squadron: 12x Torpedo TIE/gt Starfighter
TEXT_STATBLOCK_TIE_GT_TORPS_SQUADRON_DOUBLE,Squadron: 24x Torpedo TIE/gt Starfighter
TEXT_STATBLOCK_TIE_GT_TORPS_SQUADRON_HALF,Squadron: 6x Torpedo TIE/gt Starfighter
TEXT_STATBLOCK_TIE_GT_WEAP3,1x Heavy Fighter Proton Torpedo: 1 / 50.0s / 1.4km
TEXT_STATBLOCK_TIE_GT_WEAP4,1x Proton Rocket (AC): 1 / 37.5s / 3.0km
TEXT_STATBLOCK_TIE_GT_WEAP5,1x Concussion Bomb (AC): 1 / 37.5s / 0.8km
TEXT_STATBLOCK_TIE_INTERCEPTOR_AS_MOVE,Speed: 7.5 | Maneuverability: 4.5
TEXT_STATBLOCK_TIE_INTERCEPTOR_BF2_SQUADRON,Squadron: 12x Special Mission Refit TIE Interceptor
TEXT_STATBLOCK_TIE_INTERCEPTOR_BF2_SQUADRON_DOUBLE,Squadron: 24x Special Mission Refit TIE Interceptor
TEXT_STATBLOCK_TIE_INTERCEPTOR_BF2_SQUADRON_HALF,Squadron: 6x Special Mission Refit TIE Interceptor
TEXT_STATBLOCK_TIE_INTERCEPTOR_BF2_WEAP2,1x Fighter Concussion Missile: 1 / 50.0s / 1.8km
TEXT_STATBLOCK_TIE_INTERCEPTOR_ION_SQUADRON,Squadron: 12x Ion Refit TIE Interceptor
TEXT_STATBLOCK_TIE_INTERCEPTOR_ION_SQUADRON_DOUBLE,Squadron: 24x Ion Refit TIE Interceptor
TEXT_STATBLOCK_TIE_INTERCEPTOR_ION_SQUADRON_HALF,Squadron: 6x Ion Refit TIE Interceptor
TEXT_STATBLOCK_TIE_INTERCEPTOR_ION_WEAP2,1x Fighter Ion Cannon: 2 / 2.0s / 1.0km
TEXT_STATBLOCK_TIE_LIGHT_BOMBER_MOVE,Speed: 7.0 | Maneuverability: 5.0
TEXT_STATBLOCK_TIE_LIGHT_BOMBER_SQUADRON,Squadron: 12x TIE Light  Bomber
TEXT_STATBLOCK_TIE_LIGHT_BOMBER_SQUADRON_DOUBLE,Squadron: 24x TIE Light  Bomber
TEXT_STATBLOCK_TIE_LIGHT_BOMBER_SQUADRON_HALF,Squadron: 6x TIE Light  Bomber
TEXT_STATBLOCK_TIE_LIGHT_BOMBER_WEAP3,1x Proton Rocket (AC): 1 / 20.00s / 3.0km
TEXT_STATBLOCK_TIE_LIGHT_BOMBER_WEAP4,1x Concussion Bomb (AC): 1 / 20.00s / 0.8km
TEXT_STATBLOCK_V_WING_ESK_SQUADRON,Squadron: 12x V-Wing "Esk"
TEXT_STATBLOCK_V_WING_ESK_SQUADRON_DOUBLE,Squadron: 24x V-Wing "Esk"
TEXT_STATBLOCK_V_WING_ESK_SQUADRON_HALF,Squadron: 6x V-Wing "Esk"
TEXT_STATBLOCK_V_WING_WEAP3,1x Fighter Ion Cannon: 2 / 3.0s / 1.0km
TEXT_STATBLOCK_VCX820_BASE,Health: 22 | Shields: 14
TEXT_STATBLOCK_VCX820_MOVE,Speed: 6.67 | Maneuverability: 3.90
TEXT_STATBLOCK_VCX820_SQUADRON,Squadron: 12x - VCX-820
TEXT_STATBLOCK_VCX820_SQUADRON_DOUBLE,Squadron: 24x - VCX-820
TEXT_STATBLOCK_VCX820_SQUADRON_HALF,Squadron: 6x - VCX-820
TEXT_STATBLOCK_VCX820_WEAP1,1x Fighter Laser Cannon: 8 / 2.0s / 1.0km
TEXT_STATBLOCK_VCX820_WEAP2,1x Heavy Fighter Laser Cannon: 6 / 2.0s / 1.0km
TEXT_STATBLOCK_VCX820_WEAP3,1x Fighter Proton Torpedo: 1 / 18.75s / 1.4km
TEXT_STATBLOCK_VULTURE_BASE,Health: 4 | Unshielded
TEXT_STATBLOCK_VULTURE_ESCORT_BASE,Health: 25 | Unshielded
TEXT_STATBLOCK_VULTURE_HERO_BASE,Health: 325 | Unshielded
TEXT_STATBLOCK_VULTURE_MOVE,Speed: 8.05 | Maneuverability: 5.0
TEXT_STATBLOCK_VULTURE_SQUADRON,Squadron: 24x Vulture Droid-I
TEXT_STATBLOCK_VULTURE_SQUADRON_DOUBLE,Squadron: 48x Vulture Droid-I
TEXT_STATBLOCK_VULTURE_SQUADRON_HALF,Squadron: 12x Vulture Droid-I
TEXT_STATBLOCK_VULTURE_WEAP1,1x Fighter Laser Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_VULTURE_WEAP2,1x Fighter Concussion Missile: 1 / 75.0s / 1.8km
TEXT_STATBLOCK_YV929_BASE,Health: 24 | Shields: 17
TEXT_STATBLOCK_YV929_MOVE,Speed: 6.92 | Maneuverability: 2.36
TEXT_STATBLOCK_YV929_SQUADRON,Squadron: 12x - YV-929
TEXT_STATBLOCK_YV929_SQUADRON_DOUBLE,Squadron: 24x - YV-929
TEXT_STATBLOCK_YV929_SQUADRON_HALF,Squadron: 6x - YV-929
TEXT_STATBLOCK_YV929_WEAP1,1x Fighter Turbolaser: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_YV929_WEAP2,1x Fighter Ion Cannon: 2 / 2.0s / 1.0km
TEXT_STATBLOCK_YV929_WEAP3,1x Fighter Laser Cannon: 6 / 3.0s / 1.0km
TEXT_STATBLOCK_YV929_WEAP4,1x Fighter Assault Missile: 2 / 25.0s / 1.8km
TEXT_THETA_ASSAULT_SHUTTLE_SQUADRON,Theta Assault Shuttle Squadron
TEXT_THETA_ASSAULT_SHUTTLE_SQUADRON_HALF,Theta Assault Shuttle Squadron 1/2
TEXT_THETA_ASSAULT_SHUTTLE_SQUADRON2,Theta Assault Shuttle Squadron x2
TEXT_TIE_AVENGER_ASSAULT_SQUADRON,Assault TIE Avenger Squadron
TEXT_TIE_AVENGER_ASSAULT_SQUADRON_HALF,Assault TIE Avenger Squadron 1/2
TEXT_TIE_AVENGER_ASSAULT_SQUADRON2,Assault TIE Avenger Squadron x2
TEXT_TIE_AVENGER_BOMBER_SQUADRON,TIE Avenger Bomber Squadron
TEXT_TIE_AVENGER_BOMBER_SQUADRON_HALF,TIE Avenger Bomber Squadron 1/2
TEXT_TIE_AVENGER_BOMBER_SQUADRON2,TIE Avenger Bomber Squadron x2
TEXT_TIE_AVENGER_TORPS_SQUADRON,Torpedo TIE Avenger Squadron
TEXT_TIE_AVENGER_TORPS_SQUADRON_HALF,Torpedo TIE Avenger Squadron 1/2
TEXT_TIE_AVENGER_TORPS_SQUADRON2,Torpedo TIE Avenger Squadron x2
TEXT_TIE_FIGHTER_BF2_SQUADRON,Special Mission Refit TIE Fighter Squadron
TEXT_TIE_FIGHTER_BF2_SQUADRON_HALF,Special Mission Refit TIE Fighter Squadron 1/2
TEXT_TIE_FIGHTER_BF2_SQUADRON2,Special Mission Refit TIE Fighter Squadron x2
TEXT_TIE_FIGHTER_MISSILE_SQUADRON,Missile TIE Fighter Squadron
TEXT_TIE_FIGHTER_MISSILE_SQUADRON_HALF,Missile TIE Fighter Squadron 1/2
TEXT_TIE_FIGHTER_MISSILE_SQUADRON2,Missile TIE Fighter Squadron x2
TEXT_TIE_GT_BOMBER_SQUADRON,TIE/gt Bomber Squadron
TEXT_TIE_GT_BOMBER_SQUADRON_HALF,TIE/gt Bomber Squadron 1/2
TEXT_TIE_GT_BOMBER_SQUADRON2,TIE/gt Bomber Squadron x2
TEXT_TIE_GT_TORPS_SQUADRON,Torpedo TIE/gt Squadron
TEXT_TIE_GT_TORPS_SQUADRON_HALF,Torpedo TIE/gt Squadron 1/2
TEXT_TIE_GT_TORPS_SQUADRON2,Torpedo TIE/gt Squadron x2
TEXT_TIE_INTERCEPTOR_BF2_SQUADRON,Special Mission Refit TIE Interceptor Squadron
TEXT_TIE_INTERCEPTOR_BF2_SQUADRON_HALF,Special Mission Refit TIE Interceptor Squadron 1/2
TEXT_TIE_INTERCEPTOR_BF2_SQUADRON2,Special Mission Refit TIE Interceptor Squadron x2
TEXT_TIE_INTERCEPTOR_ION_SQUADRON,Ion Refit TIE Interceptor Squadron
TEXT_TIE_INTERCEPTOR_ION_SQUADRON_HALF,Ion Refit TIE Interceptor Squadron 1/2
TEXT_TIE_INTERCEPTOR_ION_SQUADRON2,Ion Refit TIE Interceptor Squadron x2
TEXT_TIE_LIGHT_BOMBER_SQUADRON,TIE Light Bomber Squadron
TEXT_TIE_LIGHT_BOMBER_SQUADRON_HALF,TIE Light Bomber Squadron 1/2
TEXT_TIE_LIGHT_BOMBER2_SQUADRON,TIE Light Bomber Squadron x2
TEXT_TOOLTIP_008_SPEEDER,A model of heavy combat repulsorlift released during the height of the Galactic Civil War. The 008 was popular with remote Imperial garrisons in the Rim as well as mercenary units who acquire the vehicles through questionable means. While it proved a potent combatant, its service history and reputation was marred by a design flaw that caused the craft to become unstable if both weapons were fired simultaneously.
TEXT_TOOLTIP_008_SPEEDER_COMPANY,Company: 2x 008 Heavy Landspeeder
TEXT_TOOLTIP_008_SPEEDER_HEALTH,Health: 250 (Medium Vehicle)
TEXT_TOOLTIP_008_SPEEDER_MOVE,Speed: 2.50 | Turn: 3.0
TEXT_TOOLTIP_008_WEAP1,1x AV Blaster Cannon: 4 / 2.0s / 400m
TEXT_TOOLTIP_008_WEAP2,1x AI Blaster Cannon: 2 / 1.0s / 320m
TEXT_TOOLTIP_1HB_TANK,A variant of the more common Imperial-class 1-H Heavy Repuslortank that offered the same protection and speed with an alternative weapons loadout. This model excelled against other vehicles but was vulnerable to infantry attacks.
TEXT_TOOLTIP_1HB_TANK_WEAP1,1x AV Beam Cannon: 12 / 3.5s / 320m
TEXT_TOOLTIP_1HB_TANK_WEAP2,2x AV Blaster Cannons: 2 / 2.0s / 400m
TEXT_TOOLTIP_1HB_TANK_WEAP3,1x Concussion Grenade: 2 / 2.5s / 320m
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP,Larger of the designs which were concieved as a bigger and individually better form of the successful Acclamator-class Assault Ships. This borderline battleship form remains well armed and is notably more durable than other classes in its lineage, but lacks the flexibility and ruggedness of designs pushed out by parent company Kuat Drive Yards, resulting in significantly lower production and popularity.
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_HULL,Hull: 7500 (Capital)
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_MOVE,Speed: 4.55 | Accel: 0.2 | Turn: 0.35
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_SHIELD,Shields: 7000 / [35/R] (Capital)
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_SQUADRON,Fighters: 3 / 7 | Bombers: 1 / 2
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_WEAP1,2x Heavy Quad Turbolasers: 2 / 5.0s / 7.4km
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_WEAP2,8x Heavy Dual Turbolasers: 2 / 3.33s / 7.4km
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_WEAP3,4x Medium Turbolasers: 2 / 1.67s / 6.4km
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_WEAP4,4x Light Dual Laser Cannons: 2 / 0.38s / 3.9km
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_WEAP5,4x Light Proton Torpedoes: 4 / 15.0s / 5.4km
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER,A fast destroyer-weight design based on the successful Acclamator series of vessels, produced after the battle of Geonosis. Like other ships in the family, it is well armed and capable of inflicting heavy damage to any target type with an impressive warhead battery. A lack of durability for the size is also shared, and the vessel will never become remotely as popular or widespread as larger designs by the parent company or competitors.
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_HULL,Hull: 5890 (Heavy Frigate)
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_MOVE,Speed: 4.9 | Accel: 0.2 | Turn: 0.4
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_SHIELD,Shields: 4200 / [31.5/R] (Heavy Frigate)
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_SQUADRON,Fighters: 2 / 6 | Bombers: 2 / 6
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_WEAP1,4x Light Quad Turbolasers: 2 / 1.67s / 5.3km
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_WEAP2,2x Heavy Laser Cannons: 2 / 0.42s / 4.8km
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_WEAP3,8x Assault Concussion Missiles: 8 / 20.0s / 7.3km
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_WEAP4,2x Proton Torpedoes: 2 / 7.5s / 5.3km
TEXT_TOOLTIP_ACCLAMATOR_I_SUPPORT,The end of the Clone Wars saw an explosion in demand for cargo ships and freighters, alongside a post-war surplus of previously mass-produced Acclamators that were no longer needed in peacetime. Thus the remaining military Acclamators were widely converted into cargo ships to meet this new demand, repurposing the vehicle bay into a large cargo bay.
TEXT_TOOLTIP_ACCLAMATOR_I_SUPPORT_HULL,Hull: 1925 (Frigate)
TEXT_TOOLTIP_ARMORED_INTERCEPTOR_RESEARCH_ELROOD,Configure Elroods TIE Interceptors with additional hull plating, granting them improved survivability.
TEXT_TOOLTIP_AS_INTERCEPTOR_ELITE,A very rare and expensive modification of the already obscure Shielded Armored TIE Interceptor variant, utilizing its more robust frame to install some torpedo launchers and upgraded laser cannons with power systems to match. The increased power supply and propulsion systems allow the craft to compensate for its increased mass from all the added systems. The result is a heavy fighter with enormous firepower that retains a stunning nimbleness, at the cost of being expensive and requiring a lot of maintenance.
TEXT_TOOLTIP_AS_INTERCEPTOR_ION,A very rare and expensive modification of the already obscure Shielded Armored TIE Interceptor variant, utilizing its more robust frame to replace the chin-mounted secondary laser cannons with ion cannons, with upgraded power and propulsion systems to regain some of the base model's agility despite the additional mass. The result is a capable fighter, able to engage a wide variety of targets, but expensive and difficult to maintain.
TEXT_TOOLTIP_AS_INTERCEPTOR_MISSILE,A very rare and expensive modification of the already obscure Shielded Armored TIE Interceptor variant, utilizing its more robust frame to install internal launchers for small anti-fighter missiles and launchers for anti-ship munitions on the wings. In addition, an overhaul of the power and propulsion systems claws back some of the stock model's performance lost to the increased mass. The result is an expensive and maintenance-heavy fighter that is exceptionally versatile and deadly while remaining nimble despite the heavier load and shield generator.
TEXT_TOOLTIP_AS_INTERCEPTOR_UPGUNNED,A very rare and expensive modification of the already obscure Shielded Armored TIE Interceptor variant, utilizing its more robust frame to install the necessary power systems to operate the chin-mounted secondary laser cannons at increased power. Upgraded propulsion systems offset the additional weight of the new systems, bringing flight performance closer to the slimmer stock Interceptor models. The result is a versatile interceptor with enormous firepower and surprising agility, at the cost of being expensive to upgrade and maintain.
TEXT_TOOLTIP_ATACT,Large cargo transport with forward weaponry. Although the AT-ACT was not built for combat it was still capable of posing a decent threat to enemy combatants. It is best used to support armies in head-on assaults of enemy forces while other forces destroy the enemy.
TEXT_TOOLTIP_ATACT_REPAIR,1x Infantry Healing and Vehicle Repair: 5 / 1.0s / 150m
TEXT_TOOLTIP_ATACT_WEAP1,2x Heavy AV Blaster Cannon: 1 / 3.0s / 480m
TEXT_TOOLTIP_ATAT_IC,The Ion refit Imperial AT-AT was an uncommon variation that replaced its super heavy laser cannons with heavy ion cannons. Although ion cannons were rarely found aboard ground walkers, some minor warlords converted a small number of their All Terrain Armored Transport fleets into mobile ion cannon platforms.
TEXT_TOOLTIP_ATAT_IC_WEAP1,1x Super Heavy AV Ion Cannon: 4 / 2.0s / 480m
TEXT_TOOLTIP_ATKT,A variant of the common AT-ST often used by planetary garrison forces deployed on anti-insurgency operations. Also known as the AT-ST 'Hunter', the AT-KT features an array of weapons geared towards pacifying partisan resistance rather than battlefield engagements. Their most notable use was on Kashyyyk as part of the Imperial occupation forces, when they worked alongside AT-APs in bombarding Wookie settlements.
TEXT_TOOLTIP_ATKT_COMPANY,Company: 4x AT-KT Walker
TEXT_TOOLTIP_ATKT_HEALTH,Health: 155 (Light Vehicle)
TEXT_TOOLTIP_ATKT_MOVE,Speed: 1 | Turn: 4.0 
TEXT_TOOLTIP_ATKT_WEAP1,2x Heavy AI Blaster Cannon (AOE): 4 / 1.0s / 320m
TEXT_TOOLTIP_ATKT_WEAP2,1x FC-1 Flechette Launcher (AI): 1 / 10.0s / 240m
TEXT_TOOLTIP_ATOT,Troop walker developed during the Clone Wars to bring a larger amount of troops into the battlefield than other Republic walkers. While best known as open-topped for behind-lines use, an armored cover is applied for combat or more varied environmental conditions. Able to deploy infantry.
TEXT_TOOLTIP_ATOT_COMPANY,Company: 2x AT-OT Walker
TEXT_TOOLTIP_ATOT_DEPLOY,Deploys: 1x Dragon Trooper Pack
TEXT_TOOLTIP_ATOT_HEALTH,Health: 400 (Heavy Vehicle)
TEXT_TOOLTIP_ATOT_MOVE,Speed: 0.75 | Turn: 2.5
TEXT_TOOLTIP_ATOT_WEAP1,2x AV Blaster Cannons: 1 / 2.0s / 320m
TEXT_TOOLTIP_ATOT_WEAP2,2x Light AI Blaster Cannons: 5 / 2.5s / 320m
TEXT_TOOLTIP_ATXT,Light walker produced early in the Clone Wars as an AT-RT counterpart. Unlike most walkers has shielding for extra protection, but is also slowed down by the assorted systems and poor leg design compared to other light walkers. Quickly phased out in favour of other Republic light vehicles. Best used to engage enemy light vehicles.
TEXT_TOOLTIP_ATXT_COMPANY,Company: 4x AT-XT Walker
TEXT_TOOLTIP_ATXT_HEALTH,Health: 125 (Light Vehicle)
TEXT_TOOLTIP_ATXT_MOVE,Speed: 0.75 | Turn: 4.0 
TEXT_TOOLTIP_ATXT_SHIELD,Shields: 50 / [5/R] (Light Vehicle)
TEXT_TOOLTIP_ATXT_WEAP1,1x Light AV Blaster Cannon: 4 / 2.0s / 320m
TEXT_TOOLTIP_ATXT_WEAP2,2x Proton Grenades: 1 / 6.0s / 400m
TEXT_TOOLTIP_AUXILIA,An antiquated but well-rounded cruiser. It was designed to run down pirate vessels by the Trade Defense Force several centuries before the Clone Wars, and commonly sees service alongside the Captor-class that shares its base design. Well suited to engaging medium capital ships and escort vessels.
TEXT_TOOLTIP_AUXILIA_HULL,Hull: 2310 (Frigate)
TEXT_TOOLTIP_AUXILIA_MOVE,Speed: 5.6 | Accel: 0.25 | Turn: 0.45
TEXT_TOOLTIP_AUXILIA_SHIELD,Shields: 2500 / [25/R] (Frigate)
TEXT_TOOLTIP_AUXILIA_WEAP1,2x Light Dual Turbolasers: 2 / 2.5s / 5.1km
TEXT_TOOLTIP_AUXILIA_WEAP2,4x Light Turbolasers: 2 / 1.0s / 5.1km
